stereo left,stereo right,selected img,label name,label id,roi params
/home/arturokkboss33/gestures/genova/stereo_left/stereo_left_0.jpg,/home/arturokkboss33/gestures/genova/stereo_right/stereo_right_0.jpg,left,photo,4,"[37,84,209,235]"
/home/arturokkboss33/gestures/genova/stereo_left/stereo_left_1.jpg,/home/arturokkboss33/gestures/genova/stereo_right/stereo_right_1.jpg,right,photo,4,"[277,112,192,213]"
/home/arturokkboss33/gestures/genova/stereo_left/stereo_left_4.jpg,/home/arturokkboss33/gestures/genova/stereo_right/stereo_right_4.jpg,left,photo,4,"[14,189,226,245]"
/home/arturokkboss33/gestures/genova/stereo_left/stereo_left_5.jpg,/home/arturokkboss33/gestures/genova/stereo_right/stereo_right_5.jpg,right,photo,4,"[261,225,205,227]"
/home/arturokkboss33/gestures/genova/stereo_left/stereo_left_8.jpg,/home/arturokkboss33/gestures/genova/stereo_right/stereo_right_8.jpg,left,photo,4,"[1,205,257,262]"
/home/arturokkboss33/gestures/genova/stereo_left/stereo_left_9.jpg,/home/arturokkboss33/gestures/genova/stereo_right/stereo_right_9.jpg,right,photo,4,"[313,209,242,256]"
/home/arturokkboss33/gestures/genova/stereo_left/stereo_left_12.jpg,/home/arturokkboss33/gestures/genova/stereo_right/stereo_right_12.jpg,left,photo,4,"[81,138,253,306]"
/home/arturokkboss33/gestures/genova/stereo_left/stereo_left_13.jpg,/home/arturokkboss33/gestures/genova/stereo_right/stereo_right_13.jpg,right,photo,4,"[373,119,254,303]"
/home/arturokkboss33/gestures/genova/stereo_left/stereo_left_16.jpg,/home/arturokkboss33/gestures/genova/stereo_right/stereo_right_16.jpg,left,photo,4,"[1,112,231,262]"
/home/arturokkboss33/gestures/genova/stereo_left/stereo_left_17.jpg,/home/arturokkboss33/gestures/genova/stereo_right/stereo_right_17.jpg,right,photo,4,"[347,103,227,259]"
/home/arturokkboss33/gestures/genova/stereo_left/stereo_left_20.jpg,/home/arturokkboss33/gestures/genova/stereo_right/stereo_right_20.jpg,left,photo,4,"[94,55,270,294]"
/home/arturokkboss33/gestures/genova/stereo_left/stereo_left_21.jpg,/home/arturokkboss33/gestures/genova/stereo_right/stereo_right_21.jpg,right,photo,4,"[423,57,218,302]"
/home/arturokkboss33/gestures/genova/stereo_left/stereo_left_24.jpg,/home/arturokkboss33/gestures/genova/stereo_right/stereo_right_24.jpg,left,photo,4,"[15,89,279,292]"
/home/arturokkboss33/gestures/genova/stereo_left/stereo_left_25.jpg,/home/arturokkboss33/gestures/genova/stereo_right/stereo_right_25.jpg,right,photo,4,"[393,68,248,308]"
/home/arturokkboss33/gestures/genova/stereo_left/stereo_left_29.jpg,/home/arturokkboss33/gestures/genova/stereo_right/stereo_right_29.jpg,right,photo,4,"[361,96,280,332]"
