stereo left,stereo right,selected img,label name,label id,roi params
/home/arturokkboss33/Databases/underwater_gestures/genova-A/stereo-imgs/genova-A_00000_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/genova-A/stereo-imgs/genova-A_00000_right.jpg,left,photo,4,"[37,84,209,235]"
/home/arturokkboss33/Databases/underwater_gestures/genova-A/stereo-imgs/genova-A_00001_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/genova-A/stereo-imgs/genova-A_00001_right.jpg,right,photo,4,"[277,112,192,213]"
/home/arturokkboss33/Databases/underwater_gestures/genova-A/stereo-imgs/genova-A_00002_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/genova-A/stereo-imgs/genova-A_00002_right.jpg,left,photo,4,"[14,189,226,245]"
/home/arturokkboss33/Databases/underwater_gestures/genova-A/stereo-imgs/genova-A_00003_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/genova-A/stereo-imgs/genova-A_00003_right.jpg,right,photo,4,"[261,225,205,227]"
/home/arturokkboss33/Databases/underwater_gestures/genova-A/stereo-imgs/genova-A_00004_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/genova-A/stereo-imgs/genova-A_00004_right.jpg,left,photo,4,"[1,205,257,262]"
/home/arturokkboss33/Databases/underwater_gestures/genova-A/stereo-imgs/genova-A_00005_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/genova-A/stereo-imgs/genova-A_00005_right.jpg,right,photo,4,"[313,209,242,256]"
/home/arturokkboss33/Databases/underwater_gestures/genova-A/stereo-imgs/genova-A_00006_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/genova-A/stereo-imgs/genova-A_00006_right.jpg,left,photo,4,"[81,138,253,306]"
/home/arturokkboss33/Databases/underwater_gestures/genova-A/stereo-imgs/genova-A_00007_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/genova-A/stereo-imgs/genova-A_00007_right.jpg,right,photo,4,"[373,119,254,303]"
/home/arturokkboss33/Databases/underwater_gestures/genova-A/stereo-imgs/genova-A_00008_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/genova-A/stereo-imgs/genova-A_00008_right.jpg,left,photo,4,"[1,112,231,262]"
/home/arturokkboss33/Databases/underwater_gestures/genova-A/stereo-imgs/genova-A_00009_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/genova-A/stereo-imgs/genova-A_00009_right.jpg,right,photo,4,"[347,103,227,259]"
/home/arturokkboss33/Databases/underwater_gestures/genova-A/stereo-imgs/genova-A_00010_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/genova-A/stereo-imgs/genova-A_00010_right.jpg,left,photo,4,"[94,55,270,294]"
/home/arturokkboss33/Databases/underwater_gestures/genova-A/stereo-imgs/genova-A_00011_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/genova-A/stereo-imgs/genova-A_00011_right.jpg,right,photo,4,"[423,57,218,302]"
